t,avg_biomass,coop_rate,avg_payoff
177,0.00026414090837309604,0.0,3870.04
178,0.0002543925356856924,0.0,3894.4
179,0.00024535932398945094,0.0,3918.44
180,0.00023446566704514324,0.0,3934.32
181,0.00022438065037616237,0.0,3950.08
182,0.000216100089362047,0.0,3974.08
183,0.0002084269925817949,0.0,3998.12
184,0.00019917340250142287,0.0,4014.68
185,0.00019060669494291478,0.0,4031.16
186,0.0001835728346498419,0.0,4055.32
187,0.00017705496944211028,0.0,4079.96
188,0.00016919443970068817,0.0,4096.28
189,0.00016191737653776318,0.0,4112.0
190,0.00015594244271606794,0.0,4136.36
191,0.0001504058146529124,0.0,4161.36
192,0.0001437285649545332,0.0,4177.6
193,0.00013754694225616383,0.0,4195.36
194,0.000132471463260303,0.0,4220.0
195,0.00012776830268971707,0.0,4245.0
196,0.00012209616161565402,0.0,4260.84
197,0.00011684503650497176,0.0,4276.6
198,0.00011253357159489926,0.0,4300.96
199,0.00010853837578169174,0.0,4324.96
200,0.00010372001303305921,0.0,4341.2
201,9.925929029927349e-05,0.0,4359.52
202,9.559680426369655e-05,0.0,4383.56
203,9.220297830226709e-05,0.0,4408.2
204,8.810985749873053e-05,0.0,4424.04
205,8.432054314410839e-05,0.0,4439.88
206,8.120932901134036e-05,0.0,4464.88
207,7.832633452123865e-05,0.0,4489.24
208,7.484927726632944e-05,0.0,4505.08
209,7.163029784968879e-05,0.0,4520.84
210,6.898736450549196e-05,0.0,4545.48
211,6.653829905905732e-05,0.0,4572.04
212,6.358456766756789e-05,0.0,4587.96
213,6.085006974129479e-05,0.0,4605.24
214,5.8604923985905295e-05,0.0,4629.6
215,5.652446598961562e-05,0.0,4653.96
216,5.401528638016927e-05,0.0,4670.84
217,5.1692343370389026e-05,0.0,4687.88
218,4.9785106692182086e-05,0.0,4712.04
219,4.801777039468867e-05,0.0,4736.2
220,4.588622858728571e-05,0.0,4752.56
221,4.3912893511863804e-05,0.0,4768.64
222,4.2292702944122935e-05,0.0,4793.0
223,4.079135666212827e-05,0.0,4817.36
224,3.898061242631872e-05,0.0,4833.24
225,3.730426419703925e-05,0.0,4849.4
226,3.592791431722673e-05,0.0,4874.04
227,3.4652522096030355e-05,0.0,4898.68
228,3.31142918555063e-05,0.0,4914.72
229,3.1690230832611634e-05,0.0,4930.56
230,3.052102047838028e-05,0.0,4954.92
231,2.9437573438740505e-05,0.0,4979.56
232,2.8130841792128154e-05,0.0,4995.64
233,2.692109697285728e-05,0.0,5011.32
234,2.5927849768768336e-05,0.0,5035.36
235,2.500745850502726e-05,0.0,5060.0
236,2.389738387205628e-05,0.0,5076.08
237,2.2869699786263113e-05,0.0,5091.92
238,2.202593225363772e-05,0.0,5116.56
239,2.1244055982232276e-05,0.0,5140.72
240,2.0301041099105592e-05,0.0,5157.04
241,1.942801731153885e-05,0.0,5172.96
242,1.8711232300625687e-05,0.0,5197.96
