alpha,metric,mean,±95%CI
0.0,C,0.0,0.0
0.0,S,0.504064863842186,0.000646561216394852
0.3,C,0.0,0.0
0.3,S,0.6373212018424286,0.007498438049783421
0.7,C,0.0116,0.022736
0.7,S,0.7836104559344464,0.035794832967324684
1.0,C,0.0332,0.036800309563915355
1.0,S,0.8790941842041546,0.050771361923517666
1.3,C,0.031200000000000002,0.034704822489100846
1.3,S,0.9010499196820376,0.04870778220374554
